Month,province,state,civil,civil(2),Email,society,governorate,governorate(2),province(2)
2004-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-10,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
2004-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.96788008565311
2008-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0
2009-02,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
2009-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01,0.0,0.0,0.0,0.0,8.047109207708779,0.0,0.0,0.0,0.0
2011-02,0.0,0.0,0.0,0.0,8.047109207708779,0.0,0.0,0.0,0.0
2011-03,0.0,0.0,0.0,0.0,8.047109207708779,0.0,0.0,0.0,0.0
2011-04,0.0,0.0,0.0,0.0,8.946466809421842,0.0,0.0,0.0,0.0
2011-05,0.0,1.0,0.0,0.0,8.047109207708779,0.0,0.0,0.0,0.0
2011-06,0.0,1.0,0.0,0.0,11.396145610278372,0.0,0.0,0.0,0.0
2011-07,0.0,1.0,0.0,0.0,7.147751605995717,0.0,0.0,0.0,0.0
2011-08,0.0,2.0,0.0,0.0,5.147751605995717,0.0,0.0,0.0,0.0
2011-09,0.0,1.0,0.0,0.0,7.147751605995717,0.0,0.0,0.0,0.0
2011-10,0.0,1.0,1.0,1.0,8.047109207708779,1.0,0.0,0.0,0.0
2011-11,0.0,1.0,1.0,0.0,7.147751605995717,1.0,0.0,0.0,0.0
2011-12,0.0,1.0,2.0,1.0,3.7987152034261245,1.0,0.0,0.0,0.0
2012-01,0.0,1.0,0.0,0.0,7.597430406852249,1.0,0.0,0.0,0.0
2012-02,0.0,1.0,0.0,0.0,8.047109207708779,1.0,0.0,0.0,0.0
2012-03,0.0,1.0,1.0,0.0,4.698072805139186,0.0,0.0,0.0,0.0
2012-04,0.0,1.0,0.0,0.0,4.698072805139186,1.0,0.0,0.0,0.8993576017130621
2012-05,0.0,1.0,1.0,0.5,4.698072805139186,0.5,0.0,0.0,0.0
2012-06,0.0,1.0,1.0,0.0,8.49678800856531,1.0,0.0,0.0,0.0
2012-07,0.0,1.0,1.0,1.0,8.49678800856531,1.0,0.0,0.0,0.0
2012-08,0.0,1.0,0.0,0.0,4.698072805139186,1.0,0.0,0.0,0.0
2012-09,0.0,0.0,0.0,0.0,8.047109207708779,1.0,0.0,0.0,0.0
2012-10,0.0,1.0,0.0,0.0,4.698072805139186,1.0,0.0,0.0,0.0
2012-11,0.0,1.0,0.0,0.0,4.698072805139186,1.0,0.0,0.0,0.0
2012-12,0.0,1.0,0.0,0.0,7.597430406852249,1.0,0.0,0.0,0.0
2013-01,0.0,1.0,2.0,1.0,7.597430406852249,1.0,0.0,0.0,0.0
2013-02,0.0,1.0,0.0,0.0,7.147751605995717,1.0,0.0,0.0,0.0
2013-03,0.0,1.0,0.0,0.0,8.047109207708779,0.5,0.0,0.0,0.0
2013-04,0.0,1.0,0.0,0.0,4.698072805139186,1.0,0.0,0.0,0.0
2013-05,0.0,1.0,1.0,0.5,7.597430406852249,1.0,0.0,0.0,0.0
2013-06,0.0,1.0,0.5,0.0,7.597430406852249,0.5,0.0,0.0,0.0
2013-07,0.0,1.0,2.0,1.0,7.597430406852249,1.0,0.0,0.0,0.0
2013-08,0.0,1.0,1.5,0.5,8.49678800856531,0.0,0.0,0.0,0.0
2013-09,0.0,1.0,2.0,1.0,4.698072805139186,0.5,0.0,0.0,0.0
2013-10,0.0,1.0,0.5,0.5,5.147751605995717,0.0,0.0,0.0,0.0
2013-11,0.0,1.0,1.0,0.5,7.597430406852249,0.5,0.0,0.0,0.0
2013-12,0.0,1.0,0.5,0.5,7.597430406852249,0.5,0.0,0.0,0.0
2014-01,0.0,1.0,0.0,0.0,7.597430406852249,0.0,0.0,0.0,0.0
2014-02,0.0,1.0,2.0,1.0,8.047109207708779,0.5,0.0,0.0,0.0
2014-03,0.0,1.0,1.5,0.5,7.147751605995717,0.5,0.0,0.0,0.0
2014-04,0.0,1.0,1.0,0.5,4.248394004282655,0.5,0.0,0.0,0.0
2014-05,0.0,0.5,1.0,0.5,4.248394004282655,0.5,0.0,0.0,0.0
2014-06,0.0,0.5,1.0,0.5,3.7987152034261245,0.5,0.0,0.0,0.0
2014-07,0.0,1.0,1.0,0.5,3.7987152034261245,0.5,0.0,0.0,0.0
2014-08,0.0,0.5,1.0,0.5,4.248394004282655,0.5,0.0,0.0,0.0
2014-09,0.0,1.0,1.0,0.5,3.7987152034261245,0.5,0.0,0.0,0.0
2014-10,0.0,0.5,1.0,0.5,3.7987152034261245,0.5,0.0,0.0,0.0
2014-11,0.0,0.5,1.0,0.5,4.248394004282655,0.5,0.0,0.0,0.0
2014-12,0.0,1.0,1.0,0.5,4.248394004282655,0.5,0.0,0.0,0.0
2015-01,0.0,1.0,1.0,0.5,4.248394004282655,0.5,0.0,0.0,0.0
2015-02,0.0,0.5,1.0,0.5,4.698072805139186,0.5,0.0,0.0,0.0
2015-03,0.0,0.5,1.0,0.5,4.248394004282655,0.5,0.0,0.0,0.0
2015-04,0.0,1.0,1.0,0.5,3.7987152034261245,0.5,0.0,0.0,0.0
2015-05,0.0,0.5,1.0,0.5,3.7987152034261245,0.5,0.0,0.0,0.0
2015-06,0.0,0.5,1.0,0.5,4.248394004282655,0.5,0.0,0.0,0.0
2015-07,0.0,0.5,1.0,0.5,4.248394004282655,0.5,0.0,0.0,0.0
2015-08,0.0,1.0,1.0,0.5,4.698072805139186,0.5,0.0,0.0,0.0
2015-09,0.9496788008565311,1.0,1.0,0.5,4.248394004282655,0.5,0.0,0.0,0.44967880085653106
2015-10,0.0,1.0,1.0,0.5,4.248394004282655,0.5,0.0,0.0,0.0
2015-11,0.0,1.0,1.0,0.5,4.248394004282655,0.5,0.0,0.0,0.0
2015-12,0.0,0.5,1.0,0.5,7.597430406852249,0.5,0.0,0.0,0.0
2016-01,0.0,0.5,1.0,0.5,4.248394004282655,0.5,0.0,0.0,0.0
